S.No,Product_Code,Cust_ID,IPC_Code,gram/product,Product_Type,Spring_Type,Material_Code,Material_Type,Material_Name,Grade,Finishing,Wire_dia,Coiling/Forming,Stress_Relieving,Coating,Grinding,Plating,Blackening
48,ROTORK-SPRING COMP-25622-1.20mm,C_003,SPRING COMP-25622-1.20mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-1.20mm,Coil,ST Spring Steel,DM,,1.20mm,Coiling,Stress_Relieving,,Grinding,Zinc_Blue,
49,ROTORK-HAND AUTO RETURN SPRING-33255-1.50mm,C_003,HAND AUTO RETURN SPRING-33255-1.50mm,,Spring,TORSION SPRING,Coil-ST Spring Steel-DM-1.50mm,Coil,ST Spring Steel,DM,,1.50mm,Coiling,Stress_Relieving,,,,
50,ROTORK-CLUTCH SPRING-49803-3.20mm,C_003,CLUTCH SPRING-49803-3.20mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-3.20mm,Coil,ST Spring Steel,DM,,3.20mm,Coiling,Stress_Relieving,,Grinding,,
51,YAMARI-COMPRESSION SPRING-TE-0036-01-1.60mm,C_005,COMPRESSION SPRING-TE-0036-01-1.60mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.60mm,Coil,SS Stainless Steel,304,Soap Coated,1.60mm,Coiling,Stress_Relieving,,Grinding,,
52,YAMARI-COMPRESSION SPRING-TE-0036-02-0.70mm,C_005,COMPRESSION SPRING-TE-0036-02-0.70mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,,,
53,YAMARI-COMPRESSION SPRING-TE-0036-03-0.80mm,C_005,COMPRESSION SPRING-TE-0036-03-0.80mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.80mm,Coil,SS Stainless Steel,304,Soap Coated,0.80mm,Coiling,Stress_Relieving,,,,
54,YAMARI-OT-SP-KNG-KM-SPRIXO-1.50mm,C_005,OT-SP-KNG-KM-SPRIXO-1.50mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.50mm,Coil,SS Stainless Steel,304,Soap Coated,1.50mm,Coiling,Stress_Relieving,,Grinding,,
55,ATIRUM-BAIN CONNECTOR-SF-019-0.30mm,C_006,BAIN CONNECTOR-SF-019-0.30mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.30mm,Coil,SS Stainless Steel,304,Soap Coated,0.30mm,Coiling,Stress_Relieving,,,,
56,ATIRUM-AMBU BAG-SF-059-0.35mm,C_006,AMBU BAG-SF-059-0.35mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.35mm,Coil,SS Stainless Steel,304,Soap Coated,0.35mm,Coiling,Stress_Relieving,,,,
57,ATIRUM-ECG CLIP-SF-410-0.80mm,C_006,ECG CLIP-SF-410-0.80mm,,Spring,TORSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.80mm,Coil,SS Stainless Steel,304,Soap Coated,0.80mm,Forming,Stress_Relieving,,,,
